Test method	Hit method	Comment	Jaccard index	Jaccard containment AB	Jaccard containment BA	curated
SFLDF00283	TIGR03820	P	0.8	0.8	1	
SFLDF00283	PTHR30538	C	0.166666666666667	1	0.166666666666667	
SFLDF00283	SFLDG01070	C	0.192307692307692	1	0.192307692307692	
SFLDF00283	TIGR00238	C	0.217391304347826	1	0.217391304347826	
SFLDF00283	PTHR30538:SF1		0.210526315789474	0.8	0.222222222222222	
SFLDF00283	SFLDS00029	C	0.00381970970206264	1	0.00381970970206264	
PTHR23029	PTHR23029:SF55	P	0.130111524163569	0.130111524163569	1	
TIGR03972	PTHR13930:SF0	C	0.0833333333333333	1	0.0833333333333333	
TIGR03972	PTHR13930	C	0.0686274509803922	1	0.0686274509803922	
TIGR03972	SFLDG01071	C	0.106060606060606	1	0.106060606060606	
TIGR03972	SFLDF00284	C	0.106060606060606	1	0.106060606060606	
TIGR03972	SFLDS00029	C	0.0053475935828877	1	0.0053475935828877	
SFLDF00293	PTHR43076	C	0.2	1	0.2	
SFLDF00293	SFLDF00342		0.1	0.285714285714286	0.133333333333333	
SFLDF00293	SFLDG01082		0.00284090909090909	0.142857142857143	0.00289017341040462	
SFLDF00293	TIGR03551	C	0.777777777777778	1	0.777777777777778	
SFLDF00293	SFLDG01064		0.135135135135135	0.714285714285714	0.142857142857143	
SFLDF00293	SFLDG01389	C	0.269230769230769	1	0.269230769230769	
SFLDF00293	SFLDG01388	C	0.368421052631579	1	0.368421052631579	
SFLDF00293	PTHR43076:SF3	P	0.285714285714286	0.285714285714286	1	
SFLDF00293	TIGR00423	C	0.269230769230769	1	0.269230769230769	
SFLDF00293	SFLDF00343		0.181818181818182	0.571428571428571	0.210526315789474	
SFLDF00293	PTHR43076:SF1		0.217391304347826	0.714285714285714	0.238095238095238	
SFLDF00293	SFLDS00029	C	0.0053475935828877	1	0.0053475935828877	
SFLDF00376	TIGR04508	E	1	1	1	
SFLDF00376	PTHR42836	C	0.027027027027027	1	0.027027027027027	
PTHR22931:SF9	TIGR01828	P	0.623188405797101	0.632352941176471	0.977272727272727	
PTHR22931:SF9	PTHR22931	C	0.380681818181818	0.985294117647059	0.382857142857143	
PTHR31480:SF2	PTHR31480	C	0.305555555555556	0.956521739130435	0.309859154929577	
PTHR31480:SF2	SFLDG01212		0.283333333333333	0.739130434782609	0.314814814814815	
PTHR31480:SF2	SFLDG01018		0.129770992366412	0.739130434782609	0.136	
PTHR31944:SF85	PTHR31944		0.0175097276264591	0.75	0.0176125244618395	
PTHR12902:SF7	PTHR12902		0.111979166666667	0.728813559322034	0.116847826086957	
PTHR24220	PTHR24220:SF609	P	0.0566037735849057	0.0566037735849057	1	
PTHR24220	PTHR24220:SF642	P	0.0251572327044025	0.0251572327044025	1	
TIGR01559	PTHR11626	C	0.785714285714286	1	0.785714285714286	
TIGR01559	SFLDS00005		0.0201342281879195	0.116883116883117	0.0237467018469657	
TIGR01559	SFLDG01018		0.496296296296296	0.87012987012987	0.536	
SFLDF00008	PTHR43287	C	0.0540540540540541	1	0.0540540540540541	
SFLDF00008	SFLDF00552	P	0.5	0.5	1	
SFLDF00008	PTHR43287:SF4	C	0.2	1	0.2	
SFLDF00008	SFLDS00001	C	0.00626959247648903	1	0.00626959247648903	
SFLDF00008	SFLDG00179	C	0.03125	1	0.03125	
PTHR10992	SFLDF00009		0.00265604249667995	0.00281293952180028	0.0454545454545455	
PTHR10992	PTHR10992:SF984	P	0.0798319327731092	0.080168776371308	0.95	
PTHR10992	TIGR03695		0.00836820083682008	0.00843881856540084	0.5	
PTHR10949:SF0	PTHR10949	C	0.414772727272727	0.935897435897436	0.426900584795322	
PTHR10949:SF0	SFLDG01058		0.41044776119403	0.705128205128205	0.495495495495495	
PTHR10949:SF0	TIGR00510		0.433823529411765	0.756410256410256	0.504273504273504	
PTHR10949:SF0	SFLDF00271		0.41044776119403	0.705128205128205	0.495495495495495	
